"","gene","tissue","prot","mrna"
"1133","ENSG00000105835","uterus",1.3868297835794e-05,3.38999999841479e-05
"1140","ENSG00000105953","uterus",1.28379012281626e-05,2.78000000052441e-05
"1142","ENSG00000105974","uterus",0.000193062124519249,0.000137299999925151
"1145","ENSG00000106049","uterus",0.00011542696404118,3.9600000006792e-05
"1148","ENSG00000106077","uterus",2.68243561724931e-05,1.43999999968418e-05
"1149","ENSG00000106105","uterus",2.22593610063696e-05,2.92999999761097e-05
"1150","ENSG00000106211","uterus",0.00168572019611715,0.000329599999980967
"1153","ENSG00000106246","uterus",8.31491590057873e-07,5.80000000583697e-06
"1154","ENSG00000106263","uterus",8.15578666131518e-06,5.33999999964888e-05
"1158","ENSG00000106305","uterus",2.25662556034307e-05,1.12000000085057e-05
"1169","ENSG00000106588","uterus",5.71508913199243e-05,6.57000000665963e-05
"1170","ENSG00000106605","uterus",8.38434547478403e-05,3.05999999660683e-05
"1171","ENSG00000106615","uterus",1.24246573643204e-05,1.73999999886776e-05
"1174","ENSG00000106636","uterus",1.29102833469824e-05,2.88000000159665e-05
"1177","ENSG00000106682","uterus",1.43746101786104e-05,0.000119400000056814
"1183","ENSG00000106804","uterus",1.36108538918887e-05,3.99999999697935e-06
"1186","ENSG00000106853","uterus",5.26944946617866e-05,3.9799999993247e-05
"1190","ENSG00000106992","uterus",0.000482975248931315,2.33999999779013e-05
"1191","ENSG00000107021","uterus",8.77163809463778e-07,1.07000000077557e-05
"1200","ENSG00000107438","uterus",0.000167797249623625,6.90999999404618e-05
"1202","ENSG00000107581","uterus",3.17088609848957e-06,5.98000000015958e-05
"1213","ENSG00000107902","uterus",9.84573893408347e-05,2.0099999980539e-05
"1215","ENSG00000107959","uterus",2.8705014329312e-06,3.44999999941792e-05
"1216","ENSG00000108010","uterus",4.03967953319153e-06,2.12999999784821e-05
"1217","ENSG00000108039","uterus",4.75100557460404e-06,2.61999999807105e-05
"1218","ENSG00000108055","uterus",6.53857581859448e-07,2.12999999784821e-05
"1229","ENSG00000108294","uterus",4.95565225812233e-05,6.16999999952774e-05
"1232","ENSG00000108344","uterus",1.58577428489017e-05,4.74000000355712e-05
"1235","ENSG00000108424","uterus",8.73577319474184e-05,6.61999999329761e-05
"1237","ENSG00000108439","uterus",0.00018661258248092,7.29999999797527e-06
"1239","ENSG00000108465","uterus",3.11223109834923e-06,9.14000000560169e-05
"1241","ENSG00000108479","uterus",1.52181484065083e-05,7.59999999508625e-06
"1243","ENSG00000108518","uterus",0.000617481240542051,0.000185500000020902
"1244","ENSG00000108528","uterus",1.64598376016318e-05,2.75999999958553e-05
"1246","ENSG00000108561","uterus",8.44531422475904e-06,5.4000000022012e-05
"1251","ENSG00000108591","uterus",1.05501963651659e-05,2.08000000017835e-05
"1253","ENSG00000108639","uterus",1.7438350963199e-05,3.50999999623518e-05
"1254","ENSG00000108654","uterus",4.75175545547096e-07,0.000427300000179859
"1256","ENSG00000108671","uterus",4.47960161967085e-05,3.34999999971579e-05
